global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G001178,S3_P450Rdb,1271,O=C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"Pregn-5-en-20-one-20-14C, 3beta-hydroxy-",CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,ORNBQBCIOKFOEO-UHFFFAOYSA-N,ok
CMP_G001179,S2_ESIBank,311,C[C@H](CCC1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,C[C@H](CCC1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,OSENKJZWYQXHBN-SUSFDCQQSA-N,ok
CMP_G001180,S3_P450Rdb,1270,C[C@H](CC[C@H]1C(O1)(C)C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)O)C)C,(24S)-25-Epoxycholesterol,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,OSENKJZWYQXHBN-XVYZBDJZSA-N,ok
CMP_G001180,S9_PCPD,365,C[C@H](CC[C@H]1C(O1)(C)C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)O)C)C,(24S)-25-Epoxycholesterol,C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,OSENKJZWYQXHBN-XVYZBDJZSA-N,ok
CMP_G001181,S3_P450Rdb,884,CC1=CC(=CC=C1)OC,1-methoxy-3-methylbenzene,COc1cccc(C)c1,OSIGJGFTADMDOB-UHFFFAOYSA-N,ok
CMP_G001182,S3_P450Rdb,1183,C1CCCCCCCC(=O)CCCCCC1,cyclopentadecanone,O=C1CCCCCCCCCCCCCC1,OSOIQJGOYGSIMF-UHFFFAOYSA-N,ok
CMP_G001183,S1_RCSB,8,Cc1cccc(Cl)c1,,Cc1cccc(Cl)c1,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,ok
CMP_G001184,S1_RCSB,82,COc1cccc(CO)c1O,,COc1cccc(CO)c1O,OSZHSESNQIMXMZ-UHFFFAOYSA-N,ok
CMP_G001185,S8_PlantP450DB,292,CC1=C(C(CCC1)(C)C)/C=C/C(=C\OC2C=C(C(=O)O2)C)/C,carlactone (CL),CC1=CC(O/C=C(C)\C=C\C2=C(C)CCCC2(C)C)OC1=O,OTIYLZVFQIMLQH-FRGMPSNRSA-N,ok
CMP_G001186,S3_P450Rdb,465,CC1=C(C(CCC1)(C)C)/C=C/C(=C\O[C@H]2C=C(C(=O)O2)C)/C,(11R)-carlactone,CC1=C[C@H](O/C=C(C)\C=C\C2=C(C)CCCC2(C)C)OC1=O,OTIYLZVFQIMLQH-UIUAQFKNSA-N,ok
CMP_G001187,S2_ESIBank,124,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C=O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C=O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,OTKNPGBTQXVJNH-DQOTWGJISA-N,ok
