Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
Maslinic Acid,73659,,,C30H48O4,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H](C3(C)C)O)O)C
6Beta-Hydroxy-Oleanolic Acid,12443148,,,C30H48O4,C[C@]12CC[C@@H](C([C@@H]1[C@@H](C[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)O)(C)C)O
Maniladiol,397934,,,C30H50O2,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@@H]([C@@]5([C@H]4CC(CC5)(C)C)C)O)C)C)(C)C)O
Cycloartenol,92110,,,C30H50O,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C
Fonsecin B,160596,,,C16H16O6,CC1(CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)OC)O)O
Rubrofusarin B,176918,,,C16H14O5,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)OC)O
Asperaculane D,146672906,,,C15H21O2-,CC1=CC[C@@H]2/C(=C(\C)/C(=O)[O-])/CC[C@]2(CC1)C
Asperaculane E,146672908,,,C15H21O3-,CC1=CC[C@@H]2/C(=C(\C)/C(=O)[O-])/CC[C@]2([C@H](C1)O)C
Asperaculane G,146672911,,,C15H21O4-,CC1=CC[C@@H]2/C(=C(\C)/C(=O)[O-])/C[C@H]([C@]2([C@H](C1)O)C)O
"Dauca-4,7-Diene",146672860,,,C15H24,CC1=CC[C@@H]2C(=C(C)C)CC[C@]2(CC1)C
Vinorine,5281974,,,C21H22N2O2,C/C=C\1/CN2[C@H]3C[C@@H]1C4[C@@H]2C[C@]5([C@@H]4OC(=O)C)C3=NC6=CC=CC=C56
Chrysin,5281607,,,C15H10O4,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
