Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
"1Alpha,25-Dihydroxyvitamin D2",9547243,,,C28H44O3,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
Resorufin,69462,,,C12H7NO3,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2
Umbelliferone,5281426,,,C9H6O3,C1=CC(=CC2=C1C=CC(=O)O2)O
(2R)-Hydroxytetradecanoate,91825664,,,C14H27O3-,CCCCCCCCCCCC[C@H](C(=O)[O-])O
(3R)-Hydroxytetradecanoate,91825663,,,C14H27O3-,CCCCCCCCCCC[C@H](CC(=O)[O-])O
(2S)-Hydroxytetradecanoate,22298950,,,C14H27O3-,CCCCCCCCCCCC[C@@H](C(=O)[O-])O
Pulcherriminic Acid,3083664,,,C12H20N2O4,CC(C)CC1=C([N+](=C(C(=O)N1O)CC(C)C)[O-])O
All-Trans-18-Hydroxyretinoate,131953105,,,C20H27O3-,C/C(=C\C=C\C(=C\C(=O)[O-])\C)/C=C/C1=C(CCCC1(C)C)CO
"All-Trans-(4S,16)-Dihydroxyretinoate",124202354,,,C20H27O4-,CC1=C([C@@](CC[C@@H]1O)(C)CO)/C=C/C(=C/C=C/C(=C/C(=O)[O-])/C)/C
26-Hydroxybrassinolide,56928129,,,C28H48O7,C[C@@H]([C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2COC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)CO)O)O
26-Hydroxycastasterone,101408509,,,C28H48O6,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)CO)O)O
(S)-4-Hydroxymandelonitrile,440104,,,C8H7NO2,C1=CC(=CC=C1[C@@H](C#N)O)O
(Indol-3-Yl)Acetonitrile,351795,,,C10H8N2,C1=CC=C2C(=C1)C(=CN2)CC#N
5-Hydroxyxanthotoxin,5385192,,,C12H8O5,COC1=C2C(=C(C3=C1OC=C3)O)C=CC(=O)O2
4-Hydroxy-Indole-3-Carbonyl Nitrile,122234931,,,C10H6N2O2,C1=CC2=C(C(=C1)O)C(=CN2)C(=O)C#N
Stigmasterol,5280794,,,C29H48O,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
"Ergosta-5,7,22,24(28)-Tetraen-3Beta-Ol",11090531,,,C28H42O,C[C@H](/C=C/C(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
Brassicasterol,5281327,,,C28H46O,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
(S)-3°‰-Hydroxy-N-Methylcoclaurine,440591,,,C18H21NO4,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)O)O)O)OC
(22S)-Hydroxycholesterol,168038,,,C27H46O2,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@H](CCC(C)C)O
(22S)-22-hydroxysitosterol,52931403,,,C29H50O2,CC[C@H](C[C@@H]([C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O)C(C)C
(22S)-22-hydroxycholestanol,71357400,,,C27H48O2,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)[C@H](CCC(C)C)O
A (22S)-22-hydroxy C27-steroid,162422384,,,C27H48O,CC(C)CC[C@@H](C(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)O
A (22S)-22-hydroxy C28-steroid,162422385,,,C28H50O,CC(C)C(C)C[C@@H](C(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)O
A (22S)-22-hydroxy C29-steroid,162422386,,,C29H52O,CCC(C[C@@H](C(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)O)C(C)C
(E)-1-(Glutathione-S-Yl)-2-(1H-Indol-3-Yl)Acetohydroximate,90658497,,,C20H24N5O7S-,C1=CC=C2C(=C1)C(=CN2)C/C(=N\O)/SC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])[NH3+]
(Z)-1-(Glutathione-S-Yl)-2-Phenylacetohydroximate,25246409,,,C18H24N4O7S,C1=CC=C(C=C1)C/C(=N/O)/SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
7Alpha-Hydroxypregnenolone,9967418,,,C21H32O3,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C
"3Beta,7Alpha-Dihydroxy-5Alpha-Androstan-17-One",9815044,,,C19H30O3,C[C@]12CC[C@@H](C[C@@H]1C[C@H]([C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O)O
"3Beta,7Alpha-Dihydroxyandrost-5-En-17-One",65517,,,C19H28O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O
"Androst-5-En-3Beta,7Alpha,17Beta-Triol",25108320,,,C19H30O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O
"5Alpha-Androstane-3Beta,6Alpha,17Beta-Triol",170796,,,C19H32O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4)O)C)O
"(25R)-Cholest-5-En-3Beta,7Alpha,26-Triol",15907756,,,C27H46O3,C[C@H](CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C)CO
"7Alpha,25-Dihydroxycholesterol",11954197,,,C27H46O3,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C
12-Hydroxyfarnesol,86583467,,,C15H26O2,C/C(=C\CC/C(=C/CO)/C)/CC/C=C(\C)/CO
"6,7,4°‰-Trihydroxyflavanone",23724670,,,C15H12O5,C1C(OC2=CC(=C(C=C2C1=O)O)O)C3=CC=C(C=C3)O
Neopikromycin,86289546,,,C28H47NO8,C[C@H]1C[C@H](C(=O)/C=C/[C@H]([C@H](OC(=O)[C@@H](C(=O)[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)[C@@H](C)O)C)C
Novapikromycin,86289217,,,C28H47NO9,C[C@H]1C[C@H](C(=O)/C=C/[C@]([C@H](OC(=O)[C@@H](C(=O)[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)[C@@H](C)O)(C)O)C
Pikromycin,5282037,,,C28H47NO8,CC[C@@H]1[C@@](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)(C)O
Methymycin,5282034,,,C25H43NO7,CC[C@@H]1[C@@](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)(C)O
Neomethymycin,5282033,,,C25H43NO7,C[C@H]1C[C@H](C(=O)/C=C/[C@H]([C@H](OC(=O)[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)[C@@H](C)O)C)C
Novamethymycin,11092114,,,C25H43NO8,C[C@H]1C[C@H](C(=O)/C=C/[C@]([C@H](OC(=O)[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)[C@@H](C)O)(C)O)C
"(11S,12R)-Epoxy-(5Z,8Z,14Z)-Eicosatrienoate",40490663,,,C20H31O3-,CCCCC/C=C\C[C@@H]1[C@@H](O1)C/C=C\C/C=C\CCCC(=O)[O-]
"(14R,15S)-Epoxy-(5Z,8Z,11Z)-Eicosatrienoate",40488837,,,C20H31O3-,CCCCC[C@H]1[C@H](O1)C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
4-Methylpentanal,129,,,C6H12O,CC(C)CCC=O
4-Hydroxyestrone,9971251,,3131-23-5,C18H22O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4O)O
"12-Oxo-(5Z,8Z,10E,14Z)-Eicosatetraenoate",71668333,,,C20H29O3-,CCCCC/C=C\CC(=O)/C=C/C=C\C/C=C\CCCC(=O)[O-]
15Alpha-Hydroxy-17Beta-Estradiol,66418,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@H](C[C@@H]2O)O)CCC4=C3C=CC(=C4)O
6Alpha-Hydroxy-17Beta-Estradiol,5284655,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@@H](C4=C3C=CC(=C4)O)O
4-Hydroxy-17Beta-Estradiol,5282360,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4O)O
"(19R,20S)-Epoxy-(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoate",51651466,,,C22H31O3-,CC[C@H]1[C@H](O1)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]
"5-Oxo-(6E,8Z,11Z,14Z)-Eicosatetraenoate",51405079,,,C20H29O3-,CCCCC/C=C\C/C=C\C/C=C\C=C\C(=O)CCCC(=O)[O-]
2-Hydroxyestrone,440623,,,C18H22O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=C(C=C34)O)O
"13-Oxo-(9Z,11E)-Octadecadienoate",40490648,,,C18H29O3-,CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)[O-]
"(19S,20R)-Epoxy-(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoate",35020806,,,C22H31O3-,CC[C@@H]1[C@@H](O1)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-]
7Alpha-Hydroxy-17Beta-Estradiol,259693,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)O
"(14S,15R)-Epoxy-(5Z,8Z,11Z)-Eicosatrienoate",25320777,,,C20H31O3-,CCCCC[C@@H]1[C@@H](O1)C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
"15-Oxo-(5Z,8Z,11Z,13E)-Eicosatetraenoate",25244796,,,C20H29O3-,CCCCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
2-Hydroxy-17Beta-Estradiol,247304,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)O)O
15Alpha-Hydroxyestrone,22295806,,,C18H22O3,C[C@]12CC[C@H]3[C@H]([C@@H]1[C@H](CC2=O)O)CCC4=C3C=CC(=C4)O
6Alpha-Hydroxyestrone,21122975,,,C18H22O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)C[C@@H](C4=C3C=CC(=C4)O)O
"19-Hydroxy-(5Z,8Z,11Z)-Eicosatrienoate",119058180,,,C20H33O3-,CC(CCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
"16-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",119058175,,,C20H31O3-,CCCCC(/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
"17-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",119058170,,,C20H31O3-,CCCC(C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
16Alpha-Hydroxyestrone,115116,,,C18H22O3,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O
19-Hydroxyarachidonic acid,20839325,,,C20H32O3,CC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)O
"(5Z,8Z,11Z,14Z)-18-Hydroxyicosa-5,8,11,14-tetraenoic acid",6442778,,,C20H32O3,CCC(CC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O)O
"6Beta,16Alpha,17Alpha-Trihydroxyprogesterone",129011071,,,C21H30O5,CC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H](C4=CC(=O)CC[C@]34C)O)C)O)O
17alpha-hydroxy-C21-steroid,129626755,,,C21H36O,CC[C@]1(CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)O
"13-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",126456465,,,C20H31O3-,CCCCC/C=C\C(/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
"11-Hydroxy-(9Z,12Z)-Octadecadienoate",126456463,,,C18H31O3-,CCCCC/C=C\C(/C=C\CCCCCCCC(=O)[O-])O
"21-Hydroxy-(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoate",119058182,,,C22H31O3-,CC(/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)[O-])O
4-Nitrocatechol,3505109,,,C6H5NO4,C1=CC(=C(C=C1[N+](=O)[O-])O)O
13-Hydroxytetradecanoate,119058185,,,C14H27O3-,CC(CCCCCCCCCCCC(=O)[O-])O
14-Hydroxytetradecanoate,72715824,,,C14H27O3-,C(CCCCCCC(=O)[O-])CCCCCCO
"20-Hydroxy-8,9-Epoxy-(5Z,11Z,14Z)-Eicosatrienoate",129626660,,,C20H31O4-,C(CC/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)[O-])CCO
"(8S,9R)-Epoxy-(5Z,11Z,14Z)-Eicosatrienoate",40490655,,,C20H31O3-,CCCCC/C=C\C/C=C\C[C@@H]1[C@@H](O1)C/C=C\CCCC(=O)[O-]
"14,15-Epoxy-(5Z,8Z,11Z,17Z)-Eicosatetraenoate",126456540,,,C20H29O3-,CC/C=C\CC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
"11,12-Epoxy-(5Z,8Z,14Z,17Z)-Eicosatetraenoate",126456539,,,C20H29O3-,CC/C=C\C/C=C\CC1C(O1)C/C=C\C/C=C\CCCC(=O)[O-]
"8,9-Epoxy-(5Z,11Z,14Z,17Z)-Eicosatetraenoate",126456538,,,C20H29O3-,CC/C=C\C/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)[O-]
"2Alpha,17Beta-Dihydroxyandrost-4-En-3-One",14311666,,,C19H28O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)[C@@H](C[C@]34C)O
"10-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",53481450,,,C20H32O3,CCCCC/C=C\C/C=C\C(/C=C\C/C=C\CCCC(=O)O)O
"7-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",126456464,,,C20H31O3-,CCCCC/C=C\C/C=C\C/C=C\C(/C=C\CCCC(=O)[O-])O
"2-Exo-Hydroxy-1,4-Cineole",159051,,,C10H18O2,CC(C)[C@@]12CC[C@@](O1)([C@H](C2)O)C
"2-Exo-Hydroxy-1,8-Cineole",6857383,,,C10H18O2,C[C@@]12CC[C@@H](C[C@@H]1O)C(O2)(C)C
"16Alpha,17Beta-Estriol",5756,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
"16beta,17beta-estriol",68929,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
"17Beta,18-Dihydroxy-3-Oxo-5Alpha-Androstanone",129011070,,,C19H30O3,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)CO
Albendazole S-Oxide,83969,,,C12H15N3O3S,CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC
All-Trans-4-Hydroxyretinoate,6438629,,,C20H28O3,CC1=C(C(CCC1O)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
6Beta-Hydroxyandrostenedione,65544,,,C19H26O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)C[C@H](C4=CC(=O)CC[C@]34C)O
6Beta-Hydroxycortisol,6852390,,,C21H30O6,C[C@]12CCC(=O)C=C1[C@@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O
6Beta-Hydroxycortisone,53674638,,,C21H28O6,C[C@]12CCC(=O)C=C1[C@@H](C[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
Fenbendazole S-Oxide,40854,,,C15H13N3O3S,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3
"N-(14,15-Epoxy-5Z,8Z,11Z-Eicosatrienoyl)-Ethanolamine",24778498,,,C22H37NO3,CCCCCC1C(O1)C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
"N-(11,12-Epoxy-5Z,8Z,14Z-Eicosatrienoyl)-Ethanolamine",16061183,,,C22H37NO3,CCCCC/C=C\CC1C(O1)C/C=C\C/C=C\CCCC(=O)NCCO
"N-(8,9-Epoxy-5Z,11Z,14Z-Eicosatrienoyl)-Ethanolamine",16061182,,,C22H37NO3,CCCCC/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)NCCO
6Beta-Hydroxyprogesterone,200149,,,C21H30O3,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H](C4=CC(=O)CC[C@]34C)O)C
3-Hydroxyquinine,157225,,,C20H24N2O3,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@]4(C=C)O)O
"6Beta,17Beta-Dihydroxyandrost-4-En-3-One",65543,,,C19H28O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@H](C4=CC(=O)CC[C@]34C)O
1Beta-Hydroxytestosterone,54053901,,,C19H28O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)C[C@H]([C@]34C)O
"11Beta,17Beta-Dihydroxyandrost-4-Ene-3-One",114920,,,C19H28O3,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4O)C)O
Cladofulvin,71434670,,,C30H18O10,CC1=CC2=C(C(=C1C3=C4C(=C(C=C3C)O)C(=O)C5=C(C4=O)C=CC(=C5O)O)O)C(=O)C6=C(C2=O)C=CC(=C6O)O
"1,2-Dehydroreticuline",440930,,,C19H22NO4+,C[N+]1=C(C2=CC(=C(C=C2CC1)OC)O)CC3=CC(=C(C=C3)OC)O
Serpentine,73391,,,C21H21N2O3+,C[C@H]1[C@H]2C[N+]3=C(C[C@@H]2C(=CO1)C(=O)OC)C4=C(C=C3)C5=CC=CC=C5N4
Alstonine,441979,,,C21H20N2O3,C[C@H]1[C@@H]2CN3C=CC4=C5C=CC=CC5=NC4=C3C[C@@H]2C(=CO1)C(=O)OC
Polyneuridine Aldehyde,15984703,,,C21H22N2O3,C/C=C\1/CN2[C@H]3C[C@@H]1[C@@]([C@@H]2CC4=C3NC5=CC=CC=C45)(C=O)C(=O)OC
(+)-Minovincinine,138911111,,,C21H27N2O3+,C[C@@H]([C@]12CCC[NH+]3[C@H]1[C@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC)O
4-Hydroxytryptamine,11297,,,C10H12N2O,C1=CC2=C(C(=C1)O)C(=CN2)CCN
Phenol,996,,,C6H6O,C1=CC=C(C=C1)O
2-Hydroxytoluene,335,,,C7H8O,CC1=CC=CC=C1O
Catechol,289,,,C6H6O2,C1=CC=C(C(=C1)O)O
"1,2,3-Trihydroxybenzene",1057,,,C6H6O3,C1=CC(=C(C(=C1)O)O)O
"N-(20-Hydroxy-5Z,8Z,11Z,14Z-Eicosatetraenoyl)-Ethanolamine",35027640,,,C22H37NO3,C(CC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO)CCO
17Beta-Hydroxy-3-Oxo-19-Nor-5Alpha-Androst-1-Ene,129011074,,,C18H26O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4C3=CCC(=O)C4
"(1R,5S)-Carveol",443178,,,C10H16O,CC1=CC[C@@H](C[C@H]1O)C(=C)C
"(1S,5R)-Carveol",94221,,,C10H16O,CC1=CC[C@H](C[C@@H]1O)C(=C)C
(4S)-Perillyl Alcohol,369312,,,C10H16O,CC(=C)[C@H]1CCC(=CC1)CO
"(11R)-Hydroxy-(5Z,8Z,12E,14Z)-Eicosatetraenoate",86289661,,,C20H31O3-,CCCCC/C=C\C=C\[C@@H](C/C=C\C/C=C\CCCC(=O)[O-])O
"(12R)-Hydroxy-(5Z,8Z,10E,14Z)-Eicosatetraenoate",51404095,,,C20H31O3-,CCCCC/C=C\C[C@H](/C=C/C=C\C/C=C\CCCC(=O)[O-])O
"(15R)-Hydroxy-(5Z,8Z,11Z,13E)-Eicosatetraenoate",51404094,,,C20H31O3-,CCCCC[C@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
"13(S)-Hydroxy-(5Z,8Z,11Z,14Z)-Eicosatetraenoate",126456501,,,C20H31O3-,CCCCC/C=C\[C@@H](/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
"9(R)-Hydroxy-(10E,12Z)-Octadecadienoate",51405081,,,C18H31O3-,CCCCC/C=C\C=C\[C@@H](CCCCCCCC(=O)[O-])O
"(13R)-Hydroxy-(9Z,11E)-Octadecadienoate",51404246,,,C18H31O3-,CCCCC[C@H](/C=C/C=C\CCCCCCCC(=O)[O-])O
11-Dehydrocorticosterone,5311364,,,C21H28O4,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C
4-Hydroxybenzoate,54675830,,,C7H5O3-,C1=CC(=CC=C1C(=O)O)[O-]
Aldosterone,5839,,,C21H28O5,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O
18-oxocortisol,123712,,,C21H28O6,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C=O)O
(11R)-Hydroxydodecanoate,86289577,,,C12H23O3-,C[C@H](CCCCCCCCCC(=O)[O-])O
"(24R)-7Alpha,24-Dihydroxycholesterol",24883434,,,C27H46O3,C[C@H](CC[C@H](C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C
"(24S)-Cholest-5-Ene-3Beta,7Alpha,24-Triol",11954196,,,C27H46O3,C[C@H](CC[C@@H](C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H](C4)O)C)O)C
"4Beta,7Alpha-Dihydroxycholesterol",57066358,,,C27H46O3,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C=C4[C@@]3(CC[C@@H]([C@@H]4O)O)C)O)C
"7Alpha,8Alpha-Epoxy-5Alpha-Cholestan-3Beta-Ol",129011073,,,C27H46O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@]24[C@H](O4)C[C@@H]5[C@@]3(CC[C@@H](C5)O)C)C
5Alpha-Cholestan-7-Oxo-3Beta-Ol,10386423,,,C27H46O2,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C
6Beta-Hydroxyestradiol-17Beta,440168,,,C18H24O3,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@H](C4=C3C=CC(=C4)O)O
3Beta-Sulfooxy-16Alpha-Hydroxy-Androst-5-En-17-One,20848950,,,C19H27O6S-,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3C[C@H](C4=O)O)C)OS(=O)(=O)[O-]
20-Hydroxy Prostaglandin A1,126456503,,,C20H31O5-,C1=CC(=O)[C@@H]([C@H]1/C=C/[C@H](CCCCCO)O)CCCCCCC(=O)[O-]
"(5Z,8Z,11Z,13E,15S)-Hydroxyeicosatetraenoate",25244486,,,C20H31O3-,CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])O
Thromboxane A2,5280497,,,C20H32O5,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@@H]2C[C@@H](O2)O1)C/C=C\CCCC(=O)O)O
"(12S)-Hydroxy-(5Z,8E,10E)-Heptadecatrienoate",102571778,,,C17H27O3-,CCCCC[C@@H](/C=C/C=C/C/C=C\CCCC(=O)[O-])O
4°‰-Hydroxyfenbendazole,153395,,,C15H13N3O3S,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=C(C=C3)O
"5,20-Dihydroxy-(6E,8Z,11Z,14Z)-Eicosatetraenoate",102571783,,,C20H31O4-,C(CC/C=C\C/C=C\C/C=C\C=C\C(CCCC(=O)[O-])O)CCO
20-Hydroxy-6-Trans-Leukotriene B4,102571794,,,C20H32O5,C(CC/C=C\C[C@H](/C=C/C=C/C=C/[C@H](CCCC(=O)O)O)O)CCO
"8,20-Dihydroxy-(5Z,9E,11Z,14Z)-Eicosatetraenoate",102571786,,,C20H31O4-,C(CC/C=C\C/C=C\C=C\C(C/C=C\CCCC(=O)[O-])O)CCO
20-Hydroxy-Lipoxin A4,102571780,,,C20H31O6-,C(CC[C@@H](/C=C/C=C\C=C\C=C\[C@H]([C@H](CCCC(=O)[O-])O)O)O)CCO
Berbamunine,440585,,,C36H40N2O6,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)O)O)O)OC
An S-[(1E)-1-(Hydroxyimino)-Omega-(Methylsulfanyl)Alkyl]-L-Glutathione,90657181,,,C15H26N4O7S2,CSCCC/C(=N\O)/SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
