P450 symbol,Protein name,Gene ID,Uniprot ID,EC number,Species,Species classification,Txid,Subcellular location
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane Microsome membrane
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Single-pass membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
Cyp2c11,Cytochrome P450 2C11,29277,P08683,1.14.14.1,Rattus norvegicus (Rat),Animal,10116,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Cytoplasm
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Cytoplasm
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Cytoplasm
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Cytoplasm
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP21A2,Steroid 21-hydroxylase,1589,P08686,1.14.14.16,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP21A2,Steroid 21-hydroxylase,1589,P08686,1.14.14.16,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein
claM,Cytochrome P450 monooxygenase claM,/,P0CU70,1.14.13.-,Passalora fulva (Tomato leaf mold) (Cladosporium fulvum),Plant,5499,Membrane; Single-pass membrane protein
STORR,Bifunctional protein STORR,/,P0DKI7,1.14.19.54; 1.5.1.27,Papaver somniferum (Opium poppy),Plant,3469,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
STORR,Bifunctional protein STORR,/,P0DKI7,1.14.19.54; 1.5.1.27,Papaver somniferum (Opium poppy),Plant,3469,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP71AY4,Sarpagan bridge enzyme,/,P0DO13,1.14.14.-,Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum),Plant,4060,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP71AY4,Sarpagan bridge enzyme,/,P0DO13,1.14.14.-,Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum),Plant,4060,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP71AY4,Sarpagan bridge enzyme,/,P0DO13,1.14.14.-,Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum),Plant,4060,Membrane; Single-pass membrane protein
CYP71AY5,Sarpagan bridge enzyme,/,P0DO14,1.14.14.-,Gelsemium sempervirens (Carolina jasmine) (Bignonia sempervirens),Plant,28542,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP71AY5,Sarpagan bridge enzyme,/,P0DO14,1.14.14.-,Gelsemium sempervirens (Carolina jasmine) (Bignonia sempervirens),Plant,28542,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP71AY5,Sarpagan bridge enzyme,/,P0DO14,1.14.14.-,Gelsemium sempervirens (Carolina jasmine) (Bignonia sempervirens),Plant,28542,Membrane; Single-pass membrane protein
V19H,(+)-vincadifformine 19-hydroxylase,/,P0DO22,1.14.14.-,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea),Plant,4058,/
psiH,Tryptamine 4-monooxygenase,/,P0DPA7,1.14.99.59,Psilocybe cubensis (Psychedelic mushroom) (Stropharia cubensis),Plant,181762,/
gcoA,"Aromatic O-demethylase, cytochrome P450 subunit",/,P0DPQ7,1.14.14.-,Amycolatopsis sp. (strain ATCC 39116 / 75iv2),Microorganism,385957,/
gcoA,"Aromatic O-demethylase, cytochrome P450 subunit",/,P0DPQ7,1.14.14.-,Amycolatopsis sp. (strain ATCC 39116 / 75iv2),Microorganism,385957,/
gcoA,"Aromatic O-demethylase, cytochrome P450 subunit",/,P0DPQ7,1.14.14.-,Amycolatopsis sp. (strain ATCC 39116 / 75iv2),Microorganism,385957,/
gcoA,"Aromatic O-demethylase, cytochrome P450 subunit",/,P0DPQ7,1.14.14.-,Amycolatopsis sp. (strain ATCC 39116 / 75iv2),Microorganism,385957,/
gcoA,"Aromatic O-demethylase, cytochrome P450 subunit",/,P0DPQ7,1.14.14.-,Amycolatopsis sp. (strain ATCC 39116 / 75iv2),Microorganism,385957,/
CYP11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial",403329,P10612,1.14.15.6,Sus scrofa (Pig),Animal,9823,Mitochondrion inner membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Cytoplasm
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Mitochondrion
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,[Cytochrome P450 1A1]: Cytoplasm; [Cytochrome P450MT2A]: Endoplasmic reticulum membrane; Peripheral membrane protein Mitochondrion inner membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein; [Cytochrome P450MT2B]: Endoplas
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2D6,Cytochrome P450 2D6,1565,P10635,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2A6,Cytochrome P450 2A6,1548,P11509,1.14.14.-,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Mitochondrion inner membrane; Peripheral membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,/
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP19A1,Aromatase,1588,P11511,1.14.14.14,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Multi-pass membrane protein Microsome membrane; Multi-pass membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,/
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass type II membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Single-pass membrane protein Microsome membrane; Single-pass membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Mitochondrion
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein Mitochondrion
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane Microsome membrane
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
CYP2C9,Cytochrome P450 2C9,1559,P11712,1.14.14.1; 1.14.14.51; 1.14.14.52; 1.14.14.53,Homo sapiens (Human),Animal,9606,Endoplasmic reticulum membrane; Peripheral membrane protein Microsome membrane; Peripheral membrane protein
