substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
411,5881,1,1,,FMGSKLZLMKYGDP-USOAJAOKSA-N,21,0,1
412,2336,1,1,,FMMWHPNWAFZXNH-UHFFFAOYSA-N,20,0,1
413,,1,,,,,,
414,20485,1,3,,FNGGIPWAZSFKCN-ACRUOGEOSA-N,25,3,1
415,495253,1,10,,FNGGIPWAZSFKCN-UHFFFAOYSA-N,25,3,1
416,134259607,1,10,,FNMCNOHDAXJVBK-UHFFFAOYSA-N,22,4,1
417,155486812,1,2,,FNQLRCIVBGMHTI-UHFFFAOYSA-M,14,2,1
418,12311316,1,10,,FNRXUEYLFZLOEZ-VFSICIBPSA-N,21,5,1
419,91820147,1,10,,FNRXUEYLFZLOEZ-VFSICIBPSA-O,21,5,1
420,45100492,1,10,,FODXYXCKUOAJAV-XHDOTJGXSA-N,44,5,1
421,5138791,1,2,,FOJYVBSPOBUCMV-UHFFFAOYSA-N,14,2,1
422,136429,1,5,,FPHVRPCVNPHPBH-UHFFFAOYSA-N,16,3,1
423,23724536,1,10,,FPIDCOOKEJFXFI-WKUFBULYSA-N,48,8,1
424,445354,1,10,,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,21,5,1
425,96374,1,10,,FPJGLSZLQLNZIW-UHFFFAOYSA-N,16,3,1
426,5281699,1,6,,FPLMIPQZHHQWHN-UHFFFAOYSA-N,23,2,1
427,,1,,,,,,
428,1107,1,0,,FPXSXMFOYWRHDX-UHFFFAOYSA-N,18,0,1
429,5281525,1,10,,FQTLCLSUCSAZDY-ATGUSINASA-N,16,7,1
430,5284507,1,10,,FQTLCLSUCSAZDY-SDNWHVSQSA-N,16,7,1
431,443484,1,1,,FRJSECSOXKQMOD-HQRMLTQVSA-N,20,0,1
432,11412603,1,10,,FRKZCCBKUZTFCA-TXFIJWAUSA-N,12,5,1
433,5634,1,10,,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,13,9,1
434,102515494,1,4,,FSKFLBQJBSQQKA-DMZCBJAKSA-N,27,2,1
435,73170,1,1,,FSLPMRQHCOLESF-SFMCKYFRSA-N,31,0,1
436,140229623,1,6,,FSSLCLPRTAWDSH-OZMCLOMFSA-N,23,2,1
437,3286789,1,10,,FSVMLWOLZHGCQX-UHFFFAOYSA-N,21,1,1
438,102571795,1,10,,FTAGQROYQYQRHF-FCWZHQICSA-M,23,12,1
439,560341,1,10,,FTJATNSAFIFEDU-UHFFFAOYSA-N,11,7,1
