substrate_index,n_pos,n_neg,auc,pos_logit_mean,neg_logit_mean,score_gap
178,1,9,0.5555555555555556,-4.8517666,-5.484606577777778,0.6328399777777776
179,1,9,0.5555555555555556,-4.980535,-4.826821322222222,-0.15371367777777767
180,1,10,0.4,-8.891537,-8.234577210000001,-0.6569597899999984
185,1,9,0.33333333333333337,-7.270801,-7.5830969222222215,0.3122959222222219
186,1,9,0.5555555555555556,-2.0047863,-2.583362355555556,0.5785760555555557
187,1,9,1.0,0.10925269,-2.9600640986666664,3.0693167886666664
191,1,11,0.36363636363636365,-1.0933466,-1.0567494918181817,-0.03659710818181838
192,1,9,1.0,-5.189065,-9.39444861111111,4.2053836111111105
193,1,9,0.4444444444444444,-1.1502678,-1.4565084263333334,0.3062406263333335
205,1,9,0.8888888888888888,-0.61784405,-2.1620568255555552,1.5442127755555553
206,1,9,1.0,0.03426364,-2.3100673822222224,2.3443310222222222
209,1,9,0.2222222222222222,-2.2248404,-1.5751835877777778,-0.6496568122222224
214,1,10,0.30000000000000004,-2.1630654,-1.9791094409999999,-0.18395595899999995
215,1,9,0.11111111111111116,-2.2138534,-0.78420466,-1.4296487400000002
217,1,10,0.5,-2.856386,-3.0152842499999997,0.15889824999999957
218,1,9,0.4444444444444444,-2.7305055,-2.461475722222222,-0.2690297777777779
219,1,9,0.11111111111111116,-4.66524,-2.5266728755555556,-2.138567124444444
220,1,10,0.7,-0.6058203,-1.6961256301999998,1.0903053301999999
225,1,12,0.75,-1.1073725,-2.8161092366666662,1.7087367366666661
226,1,9,0.8888888888888888,-0.20534217,-2.620571266666667,2.4152290966666667
227,1,9,0.7777777777777778,-1.9570241,-3.131330677777778,1.1743065777777781
233,1,9,0.33333333333333337,-0.37862915,-0.15604492666666667,-0.22258422333333336
234,1,10,0.9,-2.0644803,-4.75241773,2.6879374300000003
235,1,9,0.7777777777777778,-4.7119784,-5.234119666666667,0.5221412666666678
236,1,10,0.8,-0.6151356,-2.6572971195,2.0421615195
241,1,9,0.8888888888888888,-0.5145022,-1.7985453677777778,1.284043167777778
242,1,9,0.6666666666666667,-1.2792335,-2.385313473777778,1.106079973777778
246,1,9,0.5555555555555556,-5.0512547,-5.1466250222222225,0.09537032222222219
247,1,9,0.5555555555555556,-7.018706,-7.6599896111111105,0.6412836111111107
248,1,9,0.7777777777777778,-7.572132,-8.894330544444447,1.322198544444447
259,4,37,0.3783783783783784,-3.4618723250000003,-2.761692947864865,-0.7001793771351355
273,1,10,0.19999999999999996,-5.232947,-3.0578823126,-2.1750646874000004
274,1,9,0.33333333333333337,-8.444302,-5.954828900000001,-2.4894730999999997
275,1,9,0.0,-8.693024,-5.557662722222222,-3.1353612777777773
276,1,10,1.0,0.24790215,-1.3963693830000001,1.6442715330000002
287,1,10,0.30000000000000004,-1.5331392,-1.1952095100000002,-0.3379296899999997
301,1,10,0.6,-1.008975,-1.6883706899999997,0.6793956899999998
302,1,9,0.33333333333333337,-1.0502725,-0.6663666922222222,-0.3839058077777777
303,1,10,0.7,-0.2852384,-0.6564947372000001,0.37125633720000006
304,1,9,0.4444444444444444,-0.9477967,-1.1192884488888888,0.17149174888888874
305,1,9,0.6666666666666667,-0.98763484,-1.380779336666667,0.39314449666666695
306,1,10,0.30000000000000004,-3.7917724,-3.6047282600000004,-0.1870441399999998
307,1,9,0.5555555555555556,-1.9940128,-2.4044663833333337,0.4104535833333338
308,1,9,0.5555555555555556,-1.4765186,-1.8343807811111108,0.3578621811111109
309,1,9,0.6666666666666667,-0.79462457,-2.0163268706666666,1.2217023006666667
313,1,9,0.6666666666666667,-0.8282954,-2.9093504726666666,2.0810550726666666
314,1,9,0.33333333333333337,-0.15490627,-0.10729721655555555,-0.047609053444444466
326,2,19,0.6052631578947368,-0.34915931,-1.3784439507894737,1.0292846407894736
327,3,28,0.35714285714285715,-2.5032118999999997,-2.0559303542857146,-0.44728154571428513
328,2,19,0.2894736842105263,-3.402267,-2.76511532631579,-0.63715167368421
329,2,19,0.9210526315789473,0.84973535,-1.0098987315789472,1.8596340815789472
331,1,9,0.11111111111111116,-3.883687,-1.8208817677777782,-2.062805232222222
332,1,9,0.8888888888888888,-3.6787956,-5.474369377777778,1.7955737777777783
333,1,9,0.11111111111111116,-5.408874,-2.9400470177777778,-2.468826982222222
334,1,9,0.6666666666666667,-2.1466985,-3.795613288888889,1.6489147888888893
335,1,10,0.09999999999999998,-1.8118145,-0.7713834838,-1.0404310162000001
336,1,9,0.4444444444444444,-2.836422,-2.466292714444444,-0.370129285555556
337,1,10,0.6,-1.6177127,-1.792601165,0.174888465
338,1,9,1.0,0.507119,-1.2775661648888892,1.7846851648888893
339,1,9,0.6666666666666667,-0.54368937,-1.54687262,1.0031832500000002
340,1,9,0.2222222222222222,-6.4082413,-4.132467354999999,-2.275773945000001
341,1,10,1.0,-2.203051,-4.85632216,2.6532711600000005
342,1,9,1.0,0.2840191,-2.051773126666667,2.335792226666667
343,1,9,0.11111111111111116,-3.8298042,-3.2645939555555556,-0.5652102444444442
344,1,9,0.5555555555555556,-2.5373173,-2.9714443111111115,0.4341270111111113
345,1,9,0.7777777777777778,-1.4076431,-2.839444422222222,1.431801322222222
346,1,10,0.8,-0.8240534,-2.106894478,1.2828410780000001
347,1,9,0.8888888888888888,-0.16119826,-2.7844454111111117,2.6232471511111117
350,1,10,1.0,-0.9387651,-4.01246994,3.07370484
351,1,9,0.5555555555555556,-1.7214224,-1.5440512188888889,-0.17737118111111116
352,1,9,0.5555555555555556,-1.978297,-2.0146457555555557,0.03634875555555572
353,1,9,0.11111111111111116,-3.6901555,-2.253610066666667,-1.436545433333333
