enzyme_index,n_substrates,n_pos,n_neg,auc,mean_logit_pos,mean_logit_neg
157,1,1,9,0.0,-3.7967677,-1.6187514133333336
160,1,1,14,0.3571428571428571,-5.408874,-3.5308026214285717
161,1,1,12,1.0,-0.38520604,-3.9586768441666664
162,2,2,15,0.3,-3.3127279,-2.40554593
163,27,27,7,0.5555555555555556,-2.6502456381481476,-4.4846640071428565
164,1,1,11,0.36363636363636365,-3.10106,-2.09311562
166,1,1,8,0.5,-1.6737738,-1.18214669125
167,1,1,4,1.0,-0.3323612,-2.984341275
168,1,1,11,0.2727272727272727,-2.3855188,-1.7289559227272726
170,1,1,13,0.3076923076923077,-2.6205373,-3.1969597423076923
171,1,1,10,0.6,-1.7864418,-5.193175045999999
172,3,3,8,0.5,-3.9271562,-4.5181884625
174,1,1,10,0.09999999999999998,-8.28264,-5.59685362
175,1,1,8,0.625,-1.9916687,-2.2033375375
177,3,3,5,0.33333333333333326,-2.3079687566666665,-0.959709922
178,2,2,9,0.5555555555555556,-2.43202595,-3.4561966444444447
180,1,1,9,0.4444444444444444,-3.154688,-2.626547126666667
181,3,3,6,0.11111111111111108,-4.040464833333333,-1.6089795349999998
183,1,1,7,0.0,-7.5617113,-2.960195892857143
189,1,1,11,0.8181818181818181,-1.9137411,-4.1551199718181815
196,1,1,9,0.33333333333333337,-2.9952972,-2.180668292222222
198,1,1,5,0.4,-2.9180844,-2.5810873
201,1,1,8,0.125,-5.8539023,-2.06641597125
203,1,1,7,0.4285714285714286,-2.6743884,-2.8449782821428573
204,10,10,11,0.6818181818181818,-1.311484561,-1.877863268181818
206,2,2,6,0.6666666666666667,-1.0811831349999999,-2.54129868
207,2,2,7,0.8571428571428572,-0.565387029,-2.064452974285714
208,1,1,14,0.6428571428571428,-1.6262472,-3.118591549285714
209,1,1,10,1.0,0.62069577,-4.2830525707
210,1,1,11,0.8181818181818181,-2.2452488,-4.967890634545454
214,1,1,11,0.09090909090909094,-7.1390333,-2.8221153845454547
217,1,1,8,0.5,-1.9240205,-2.8546459962500004
220,3,3,8,0.9166666666666666,-0.5779494033333333,-3.2078829900000003
225,1,1,9,0.0,-10.610561,-2.821758322222222
228,1,1,3,0.0,-3.8058317,-2.4705218
229,1,1,10,0.7,-0.8260938,-3.1161717639999997
230,2,2,5,0.19999999999999996,-6.99053015,-4.4866814580000005
234,1,1,7,0.2857142857142857,-2.6840303,-2.8144657071428574
235,1,1,10,0.9,-0.9673649,-3.5816774029999996
242,1,1,14,0.8571428571428572,-1.2442212,-3.0670616714285712
243,1,1,6,0.6666666666666667,-1.136158,-1.89684955
244,1,1,12,0.5833333333333333,-1.007426,-4.250855862083333
245,1,1,10,1.0,0.9311525,-4.292798342999999
246,5,5,15,0.9600000000000001,1.4885553100000002,-1.9048883033333333
247,1,1,8,0.875,-0.16567302,-4.448698715
248,1,1,8,0.375,-4.904862,-3.4698354487499996
256,1,1,8,0.375,-2.5343406,-2.745662654375
259,1,1,11,0.6363636363636364,-2.2461495,-4.447527749090909
262,1,1,8,0.75,-0.9522814,-3.16682316125
263,2,2,11,0.9090909090909091,-1.2281942,-4.10259007
264,3,3,5,1.0,-0.83878029,-4.33537278
265,3,3,12,0.05555555555555554,-6.547364233333333,-3.061487725833334
267,1,1,8,1.0,-1.0933466,-3.1302152875
272,1,1,16,0.4375,-4.249133,-4.4207502100000005
273,1,1,10,0.6,-2.451733,-2.8521136654
274,1,1,9,0.0,-5.189065,-2.422156351111111
277,1,1,12,0.6666666666666667,-0.6058203,-1.7202234833333332
278,1,1,13,0.6153846153846154,-1.978297,-4.06845608923077
279,8,8,8,0.546875,-2.39655180875,-3.14789077125
280,1,1,10,0.5,-3.7952495,-4.166853205
281,1,1,13,0.23076923076923073,-5.134639,-3.74271049123077
285,5,5,10,0.78,-0.7082934519999999,-3.599089136000001
288,1,1,9,0.11111111111111116,-5.234048,-2.7860996399999998
290,1,1,11,0.2727272727272727,-5.073197,-3.912896563636364
291,3,3,13,0.7948717948717948,-0.8249530133333334,-2.8286880799999996
