doi,pmid,title,cyps_affected,cyp_names,url
https://doi.org/10.1007/s11427-019-9538-3,31119558,1. Sci China Life Sci. 2019 Jul;62(7):873-882. doi: 10.1007/s11427-019-9538-3. Epub  2019 May 21.,1,CYP87D20,https://doi.org/10.1007/s11427-019-9538-3
https://doi.org/10.1007/s11738-016-2275-7,,Molecular cloning and functional characterization of a cinnamate 4-hydroxylase-encoding gene from Camptotheca acuminata,1,CYP73A67v2,https://doi.org/10.1007/s11738-016-2275-7
https://doi.org/10.1007/s11738-017-2585-4,,Characterization and expression patterns of a cinnamate-4-hydroxylase gene involved in lignin biosynthesis and in respon,1,GbC4H,https://doi.org/10.1007/s11738-017-2585-4
https://doi.org/10.1007/s13562-017-0422-x,,Cloning and molecular characterization of a ferulate-5-hydroxylase gene from water chestnuts (Trapa bicornis Osbeck.),1,TbF5H1,https://doi.org/10.1007/s13562-017-0422-x
https://doi.org/10.1016/S0168-9452(00)00355-1,11164575,1. Plant Sci. 2000 Dec 7;160(1):37-47. doi: 10.1016/s0168-9452(00)00355-1.,1,CYP81E6,https://doi.org/10.1016/S0168-9452(00)00355-1
https://doi.org/10.1016/S0168-9452(02)00098-5,,Molecular and biochemical characterization of torenia flavonoid 3′-hydroxylase and flavone synthase II and modification ,1,CYP75B10,https://doi.org/10.1016/S0168-9452(02)00098-5
https://doi.org/10.1016/S0981-9428(02)01474-2,,Expression of a poplar cDNA encoding a ferulate-5-hydroxylase/coniferaldehyde 5-hydroxylase increases S lignin depositio,1,PopF5H,https://doi.org/10.1016/S0981-9428(02)01474-2
https://doi.org/10.1016/j.phytochem.2009.10.011,19939422,1. Phytochemistry. 2010 Feb;71(2-3):168-78. doi: 10.1016/j.phytochem.2009.10.011. Epub 2009 Nov 24.,1,CYP97B3,https://doi.org/10.1016/j.phytochem.2009.10.011
https://doi.org/10.1016/j.phytochem.2015.02.016,25794893,1. Phytochemistry. 2015 Jul;115:59-69. doi: 10.1016/j.phytochem.2015.02.016. Epub 2015 Mar 17.,1,CYP82D109,https://doi.org/10.1016/j.phytochem.2015.02.016
https://doi.org/10.1016/j.ymben.2017.11.009,29196123,1. Metab Eng. 2018 Jan;45:43-50. doi: 10.1016/j.ymben.2017.11.009. Epub 2017 Nov,1,Uni25647,https://doi.org/10.1016/j.ymben.2017.11.009
https://doi.org/10.1021/acscatal.1c03691,,Cytochrome P450-Catalyzed Biosynthesis of a Dihydrofuran Neoclerodane in Magic Mint (<i>Salvia divinorum</i>),1,CYP76AH39,https://doi.org/10.1021/acscatal.1c03691
https://doi.org/10.1021/acssynbio.1c00065,34259519,1. ACS Synth Biol. 2021 Aug 20;10(8):1874-1881. doi: 10.1021/acssynbio.1c00065. Epub 2021 Jul 14.,1,CYP72A567,https://doi.org/10.1021/acssynbio.1c00065
https://doi.org/10.1021/ja401535g,23570231,1. J Am Chem Soc. 2013 Apr 17;135(15):5885-94. doi: 10.1021/ja401535g. Epub 2013 Apr 9.,1,CYP705A1,https://doi.org/10.1021/ja401535g
https://doi.org/10.1038/nature14907,26352477,1. Nature. 2015 Sep 17;525(7569):376-9. doi: 10.1038/nature14907. Epub 2015 Sep,1,CYP71A12,https://doi.org/10.1038/nature14907
https://doi.org/10.1038/s41477-020-00816-7,33299150,1. Nat Plants. 2020 Dec;6(12):1447-1454. doi: 10.1038/s41477-020-00816-7. Epub 2020  Dec 7.,1,CYP71Z2,https://doi.org/10.1038/s41477-020-00816-7
https://doi.org/10.1039/C5CC01309G,25850027,1. Chem Commun (Camb). 2015 May 4;51(36):7626-8. doi: 10.1039/c5cc01309g.,1,CYP71D1,https://doi.org/10.1039/C5CC01309G
https://doi.org/10.1093/oxfordjournals.pcp.a029004,8819318,1. Plant Cell Physiol. 1996 Jul;37(5):711-6. doi: 10.1093/oxfordjournals.pcp.a029004.,1,CYP75A4,https://doi.org/10.1093/oxfordjournals.pcp.a029004
https://doi.org/10.1093/pcp/pcs106,22875608,1. Plant Cell Physiol. 2012 Sep;53(9):1535-45. doi: 10.1093/pcp/pcs106. Epub 2012 Aug 7.,1,CYP716S1,https://doi.org/10.1093/pcp/pcs106
https://doi.org/10.1126/science.1154990,18356490,1. Science. 2008 Apr 25;320(5875):543-7. doi: 10.1126/science.1154990. Epub 2008 Mar 20.,1,CYP705A5,https://doi.org/10.1126/science.1154990
https://doi.org/10.1126/science.1221614,22923580,1. Science. 2012 Aug 24;337(6097):960-4. doi: 10.1126/science.1221614.,1,CYP84A4,https://doi.org/10.1126/science.1221614
