cyp_id,kingdom,reason,num_pairs_lost
CYP691A1,Fungi,no_substrate,0
CYP692A1,Fungi,none,0
CYP693A1,Fungi,none,0
CYP693C1,Fungi,none,0
CYP693D1,Fungi,no_substrate,0
CYP694A1,Fungi,none,0
CYP694B1,Fungi,no_smiles,1
CYP695A1,Fungi,none,0
CYP695C1,Fungi,no_substrate,0
CYP696B1,Fungi,none,0
CYP697A1,Fungi,none,0
CYP697B1,Fungi,none,0
CYP697C1,Fungi,no_substrate,0
CYP697D1,Fungi,no_substrate,0
CYP698A1,Fungi,no_substrate,0
CYP11B1,Metazoa,class_only,0
CYP15C1,Metazoa,no_substrate,0
CYP17A1,Metazoa,class_only,0
CYP17A1Ol,Metazoa,class_only,0
CYP17A1Rn,Metazoa,class_only,0
CYP17A1Sa,Metazoa,class_only,0
CYP17A2,Metazoa,class_only,0
CYP18A1,Metazoa,no_smiles,1
CYP19A1,Metazoa,no_substrate,0
CYP19A2Ca,Metazoa,no_substrate,0
CYP1A1,Metazoa,no_smiles,1
CYP1A2,Metazoa,no_substrate,0
CYP1B1,Metazoa,no_substrate,0
CYP21A2Bt,Metazoa,class_only,0
CYP22A1,Metazoa,class_only,0
CYP27B1,Metazoa,no_smiles,1
CYP2B1,Metazoa,class_only,0
CYP2B4,Metazoa,no_smiles,1
CYP2C38,Metazoa,no_smiles,1
CYP2C39,Metazoa,no_smiles,1
CYP2C50,Metazoa,gene_only,0
CYP2C54,Metazoa,gene_only,0
CYP2C55,Metazoa,gene_only,0
CYP2D7,Metazoa,gene_only,0
CYP2F1,Metazoa,gene_only,0
CYP2U1Am,Metazoa,class_only,0
CYP302A1,Metazoa,class_only,0
CYP306A1,Metazoa,class_only,0
CYP315A1,Metazoa,class_only,0
CYP39A1Mm,Metazoa,no_smiles,1
CYP3A38,Metazoa,no_sequence,1
CYP3A40,Metazoa,no_substrate,0
CYP4A22,Metazoa,class_only,0
CYP4A300,Metazoa,class_only,0
CYP4B1,Metazoa,gene_only,0
CYP4B1Mm,Metazoa,gene_only,0
CYP4B1Oc,Metazoa,gene_only,0
CYP4B1Rn,Metazoa,gene_only,0
CYP4E5,Metazoa,gene_only,0
CYP4F2v3,Metazoa,no_smiles,1
CYP4X1,Metazoa,no_substrate,0
CYP51A1Dr,Metazoa,class_only,0
CYP5A1,Metazoa,no_smiles,1
CYP6A1,Metazoa,no_smiles,1
CYP6A8,Metazoa,gene_only,0
CYP6A9,Metazoa,gene_only,0
CYP6B1,Metazoa,gene_only,0
CYP6B2,Metazoa,gene_only,0
CYP6B3,Metazoa,gene_only,0
CYP6B6,Metazoa,gene_only,0
CYP6B7,Metazoa,gene_only,0
CYP6D1,Metazoa,gene_only,0
CYP6D3,Metazoa,gene_only,0
CYP6G1,Metazoa,gene_only,0
CYP7B1Am,Metazoa,no_smiles,1
CYP8B1Am,Metazoa,class_only,0
CYP5164A1,OtherEukaryotes,class_only,0
CYP5164B1,OtherEukaryotes,no_smiles,1
CYP5164C1,OtherEukaryotes,class_only,0
CYP51D1,OtherEukaryotes,no_smiles,1
CYP51D2,OtherEukaryotes,no_smiles,1
CYP51D3,OtherEukaryotes,no_smiles,1
CYP51I1,OtherEukaryotes,no_smiles,1
CYP51N1,OtherEukaryotes,no_smiles,1
CYP521A1,OtherEukaryotes,no_smiles,1
CYP51H10,Viridiplantae,no_smiles,1
CYP701A8,Viridiplantae,no_smiles,1
CYP704B1,Viridiplantae,class_only,0
CYP705A5,Viridiplantae,no_smiles,1
CYP706A3,Viridiplantae,no_smiles,1
CYP706C37,Viridiplantae,no_smiles,1
CYP709C1,Viridiplantae,class_only,0
CYP711A1,Viridiplantae,no_smiles,1
CYP711A2,Viridiplantae,no_substrate,0
CYP711A3,Viridiplantae,no_smiles,1
CYP711A3Zm,Viridiplantae,no_substrate,0
CYP711A9,Viridiplantae,no_substrate,0
CYP712K1,Viridiplantae,no_smiles,1
CYP714A2,Viridiplantae,class_only,0
CYP714B2,Viridiplantae,no_smiles,1
CYP714D1,Viridiplantae,class_only,0
CYP714E19,Viridiplantae,no_smiles,1
CYP714E52,Viridiplantae,no_smiles,1
CYP716A155,Viridiplantae,no_smiles,1
CYP716A224,Viridiplantae,no_smiles,1
CYP716A262,Viridiplantae,no_smiles,1
CYP716A265,Viridiplantae,no_smiles,1
CYP716A297,Viridiplantae,no_smiles,1
CYP716C49,Viridiplantae,class_only,0
CYP71A1,Viridiplantae,class_only,0
CYP71AV1,Viridiplantae,no_smiles,1
CYP71AZ1,Viridiplantae,no_smiles,1
CYP71AZ3,Viridiplantae,class_only,0
CYP71AZ6,Viridiplantae,no_smiles,1
CYP71B15,Viridiplantae,no_smiles,1
CYP71B38At,Viridiplantae,no_smiles,2
CYP71B40,Viridiplantae,class_only,0
CYP71BE85,Viridiplantae,no_smiles,1
CYP71BE86,Viridiplantae,no_smiles,1
CYP71BJ1,Viridiplantae,no_smiles,1
CYP71BZ6X,Viridiplantae,no_substrate,0
CYP71C113,Viridiplantae,no_smiles,1
CYP71D13,Viridiplantae,no_smiles,1
CYP71D16,Viridiplantae,no_smiles,1
CYP71D178,Viridiplantae,no_smiles,1
CYP71D181,Viridiplantae,no_smiles,1
CYP71D353,Viridiplantae,no_smiles,1
CYP71D381,Viridiplantae,no_smiles,1
CYP71D507,Viridiplantae,no_smiles,1
CYP71D55,Viridiplantae,no_smiles,1
CYP71D558,Viridiplantae,no_smiles,1
CYP71D716,Viridiplantae,no_smiles,1
CYP71D9,Viridiplantae,class_only,0
CYP71DD6,Viridiplantae,no_substrate,0
CYP71FB1,Viridiplantae,no_smiles,1
CYP71L1,Viridiplantae,no_smiles,1
CYP71P1,Viridiplantae,no_substrate,0
