compound_id,smiles,name
114,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,pyrene
115,CC1=CC[C@@]2(CC[C@]3(CCC(=C3[C@H]2CC1)C(C)C)C)C,"cyatha-3,12-diene"
116,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,eburicol
117,CCCCCCCCCCCCCCCCCC,n-octadecane
118,CCCCCCCCCCCC,dodecane
119,CCCCCCCC/C=C\CCCCCCCC(=O)[O-],(9Z)-Octadecenoate
120,CCCCCCCCCCCCCCCC(=O)[O-],Hexadecanoate
121,CCCCCC/C=C\CCCCCCCC(=O)[O-],(9Z)-Hexadecenoate
122,C/C=C(\C)/CCCCCCC/C=C\C=C\C=C/CC1=CC(=CC(=C1)O)O,soppiline B
123,CCC,propane
124,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-],"(9Z,12Z)-Octadecadienoate"
125,CCCCCCCCCCCCCCCCCC(=O)[O-],Octadecanoate
126,C/C=C/C=C/C=C/CCCCCC/C=C/C=C/C1=CC(=CC(=O)O1)O,cordypyrone A
127,C1C(=CC(=O)N1)O,tetramic acid
128,CCCCCCCC(=O)O,Caprylic Acid
129,CC[C@@H](C)/C=C(\C)/C=C/C(=C1C(=O)[C@@H](NC1=O)CC2=CC=C(C=C2)O)O,pretenellin A
130,C1=CC2=C3C(=C1)C4=C5C=CC(=C4)C3=C5C=C2,Benzo(Alpha)Pyrene
131,C1=CC=C(C=C1)C(=O)[O-],benzoate
132,COC1=CC=CC(=C1)C(=O)O,3-Methoxybenzoic Acid
133,C1=CC(=CC(=C1)O)C(=O)O,3-Hydroxybenzoic Acid
134,C1=CC=C(C=C1)C(=O)O,Benzoic Acid
135,COC1=CC(=CC(=C1OC)OC)/C=C/C2=CC=CC=C2,"3,5,4-trimethoxy-trans-stilbene"
136,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,one of
137,CC(=CCC/C(=C/CC1=C2C=C(C=C(C2=C(C3=C1[C@@H]([C@]4(CC(=O)C(=C([C@]4(C3=O)O)O)C(=O)N)O)O)O)O)OC)/C)C,previridicatumtoxin
138,C1CO[C@H]2[C@@H]1C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5O)O,versicolorin B
139,CC1=CC[C@H]2[C@]([C@]13CC4=C(O3)C=C(OC4=O)C5=CN=CC=C5)(CC[C@@]6([C@]27CC[C@@](C6(C)C)(OC7)O)O)C,decaturin A
140,CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)[O-],alpha-cyclopiazonate
141,CC1=CC[C@@H]2/C(=C(\C)/C(=O)[O-])/CC[C@]2([C@H](C1)O)C,Asperaculane E
142,CC1=CC[C@@H]2/C(=C(\C)/C(=O)[O-])/C[C@H]([C@]2([C@H](C1)O)C)O,Asperaculane G
143,C1CCC(CC1)N2CCN(CC2)C(CC3=CC=CC=C3)C4=CC=CC=C4,diphenyl piperazine
144,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)O)[O-])C)O)C)O,4-O-demethylbarbatate
145,CC(C)[C@H]1CC[C@@]2([C@@H]1[C@@H]3[C@H]4C[C@]4([C@@H]5CCC(=C5C[C@]3(CC2)CO)C(=O)O)C)C,asperterpenoid A
146,CC1=CCCC([C@H]1/C=C/C(=C\C(=O)[O-])/C)(C)C,alpha-ionylideneacetic acid
147,CC[C@@H](C)[C@H]1C(=C[C@H]2C[C@H](C[C@H]([C@@H]2[C@@]1(C)C(=O)/C=C\O)C)C)C,Dehydroprobetaenone I
148,CC[C@@H](C)[C@H]1C(=C[C@H]2C[C@H](C[C@H]([C@@H]2[C@@]1(C)C(=O)CCO)C)C)C,Probetaenone I
149,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@H](CC(=O)O)C(=O)O)OC(=O)C[C@H](CC(=O)O)C(=O)O,fumonisin
150,CCCCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)O)O)O,averantin
151,C[C@]1(CCC[C@]2([C@H]1CC[C@@H]3[C@@]24CC[C@@]([C@H](C3)C4)(CO)O)C)CO,3-deoxyaphidicolin
152,CCCCCC1=C(C(=CC=C1)O)CO,2-hydroxymethyl-3-pentylphenol
153,C1=CC(=CC(=C1)O)CO,3-hydroxybenzyl alcohol
154,CC1=CC(=CC=C1)O,3-methylphenol
155,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C,"Ergosta-5,7,24(28)-Trien-3Beta-Ol"
156,CCCCC/C=C/C=C/C=C/C1=C(C(=CC=C1)O)CO,virensol B
157,CCOC1=CC=C(C=C1)C(=O)O,4-ethoxybenzoic acid
158,CC1=C2CC[C@@]2([C@H]3CC(C[C@H]3C1)(C)C)C,delta(6)-protoilludene
159,C1[C@H](ONC1=O)[C@@H](C(=O)O)N,tricholomic acid
160,CC[C@H](C)C1=CN=C(C(=O)N1)CC(C)C,deoxyaspergillic acid
161,CC(C)(C=C)[C@@]12C[C@H]3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3[C@@H]1NC5=CC=CC=C25,roquefortine
162,CC[C@@]1([C@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](C2=CC(=C(C=C2)O)O1)O)NC)C)C(=O)NCC(=O)O)C,ustiloxin F
163,CC1=C[C@@H]2[C@](CC1)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)OC(=O)C)C)COC(=O)C,calonectrin
164,CCCCCCCCCCCCCCCC(=O)O,palmitic acid
165,C1=CO[C@H]2[C@@H]1C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5O)O,versicolorin A
166,CC(=C)[C@@H]1[C@@H](C=C2[C@@H](O1)CC[C@]3([C@]2(CC[C@@H]4[C@@]3(C5=C6[C@H]4OC([C@H]7C[C@H]8[C@@H]7C9=C(CC8=C)C=CC(=C96)N5)(C)C)C)O)C)O,penitrem D
167,CC(=C)[C@@H]1[C@@H]([C@@H]2[C@@]3(O2)[C@@H](O1)CC[C@]4([C@]3(CC[C@@H]5[C@@]4(C6=C7[C@H]5OC([C@H]8C[C@H]9[C@@H]8C1=C(CC9=C)C=CC(=C17)N6)(C)C)C)O)C)O,penitrem B
168,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,tyrosine
169,C(CCCCCCCC(=O)O)CCCCCCCO,juniperic acid
170,C[C@H]1CC[C@H]\2[C@@H](CC/C2=C(/[C@@]3([C@@H]1C[C@]4(CC[C@@H]([C@@H]4C3)C(C)C)C(=O)O)O)\C)C,Sesterfisheric acid
171,C/C/1=C\CC/C(=C/C[C@@]2(CC[C@H]([C@H]2C/C=C(/[C@H](CC1)O)\C)C(C)C)C)/C,preterpestacin I
172,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)OC)O,Rubrofusarin B
173,CC1(CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)OC)O)O,Fonsecin B
174,C[C@@H]1CC[C@@H]2[C@@]3([C@H]1CC[C@]3(CC2(C)C)C)O,presilphiperfolan-8beta-ol
175,C1CC(=O)NC1=O,succinimide
176,COC1=CC2=C(C=C1)[C@@H]3[C@](CO2)(C4=CC5=C(C=C4O3)OCO5)O,Pisatin
177,CC1=CC(=C(C(=C1C(=O)O)O)C)O,3-methylorsellinic acid
178,CN(C)[C@H]1[C@H]2CN3[C@@H]1[C@@H](O2)CC3,N-methylloline
179,CC1=C(C=C(C(=C1C)C(=O)O)O)[O-],5-methylorsellinate
180,C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5O)O,averufin
181,COC1=CC(=CC(=C1O)OC)C[C@H]2CN[C@H](CN2)CC3=CC=CC=C3,hancockiamide D
182,CC1=CC[C@@H]2C(=C(C)C)CC[C@]2(CC1)C,"dauca-4,7-diene"
183,CC1=C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,agroclavine
184,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5CCO[C@@H]5O4)OC,8-O-Methyldihydrosterigmatocystin
185,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)[C@@H]5C=CO[C@@H]5O4)OC,8-O-Methylsterigmatocystin
186,COC1=CC(=CC(=C1)/C=C/C2=CC=CC=C2)OC,"3,5-dimethoxy-trans-stilbene"
187,CC1=CC=C(CC1)[C@@]2(CCCC2(C)C)C,alpha-cuprenene
188,CC1=C[C@@H]([C@@]2(CC[C@]3(CCC(=C3[C@H]2CC1)C(C)C)C)C)O,erinacol
189,C[C@]12CCCC([C@@H]3[C@H]1CC[C@]2([C@H]3O)C)(C)C,longiborneol
190,CC(=CCC[C@@]1([C@H]2CCC(=C)[C@@H]1C2)C)C,beta-trans-bergamotene
191,CC1CCC2C13CCC4(C(C3)C(C2(O4)C)[NH2+]CCCCC[NH+](C)C)C,pre-flavunoidine
192,CC1C=CC2CCCCC2C1C(=O)C3C4C5(C(CCN5C3=O)C(=O)O4)O,UCS1025A
193,C/C=C/C=C/C=C/C(=O)O,"octa-2,4,6-trienoic acid"
194,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O,N-acetyltryptophan
195,C[C@@H]1C[C@@H]([C@@H]2[C@@]3([C@H]1C[C@@H]([C@]3(CC2(C)C)C)O)O)OC(=O)C,4beta-acetoxy-15alpha-hydroxyprobotryane
196,C[C@H]1[C@@H](CC(=O)[C@]2([C@@]13C[C@]4(CCC([C@H]4[C@@H]3CC2)(C)C)C)C)O,Conidiogenone
197,C/C/1=C/C[C@H]2[C@H](CC[C@@]2(C[C@H]3[C@@H]1CC[C@@]3(C)O)C)[C@@H](C)CCC=C(C)C,ophiobolin F
198,CC1CC2=C(C(=C(C=C2)C)O)C(=O)O1,7-methylmellein
199,C1=CC=C(C=C1)C2=C(C(=O)C(=C(C2=O)O)C3=CC=CC=C3)O,polyporic acid
200,C/C/1=C\CC/C(=C/C[C@]2(CC[C@@H]3[C@H](CC[C@]3([C@@H]2CC1)C)C(=C)C)C)/C(=O)O,Stellatic acid
201,CC1=C2C[C@]3(CC[C@@]4(CC[C@@H]([C@H]4[C@@H]3[C@H]5C[C@]5([C@@H]2CC1)C)C(C)C)C)C,preasperterpenoid A
202,CC1=CC[C@@](CC1)(C)[C@]2(CCCC2=C)C,trichodiene
