Substrate_Index,Substrate_SMILES
153,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
154,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cn1
155,CCN(CC)c1ccc2cc(C(=O)NC[C@](O)(Cn3cncn3)c3ccc(F)cc3F)c(=O)oc2c1
156,O=C(NC[C@](O)(Cn1cncn1)c1ccc(F)cc1F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1
157,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
158,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
159,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl
160,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2
161,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2
162,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
163,C=C[C@H]1C[N@@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
164,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
165,Cn1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)cn1
166,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3cn[nH]c3)C[C@H]2CS1
167,C[C@@]1(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)CCSC(N)=N1
168,C[C@@H]1C[C@@](C)(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)N=C(N)S1
169,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO
170,O=c1ccc2ccccc2o1
171,COc1c2occc2cc2ccc(=O)oc12
172,CN(C)Cc1ccc(-c2cccnc2)o1
173,CNCc1ccc(-c2cccnc2)o1
174,NCc1ccc(-c2cccnc2)o1
175,c1cc(SSc2ccncc2)ccn1
176,CCOc1ccc(NC(C)=O)cc1
177,C=C1CC[C@@]2(C(C)C)C[C@@H]12
178,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
179,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
180,C[C@@](O)(C(=O)Nc1ccc(S(=O)(=O)c2cccc(Br)c2)cc1Cl)C(F)(F)F
181,N#Cc1ccc(OC2CCC(NS(=O)(=O)C(F)(F)F)CC2)cc1Cl
182,COc1cc(NS(=O)(=O)C(F)(F)F)cc(OC)c1Oc1ccc(C#N)c(Cl)c1
183,N#Cc1cc(S(=O)(=O)Nc2nccs2)ccc1Oc1ccc(Cl)cc1-c1cn[nH]c1
184,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2cnccc2s1
185,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
186,CCCCCCCCCCCCCCCC(=O)NCC(=O)O
187,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)O
188,CC(C)C[C@H](NC(=O)CCCCCCCCCCCn1ccnc1)C(=O)O
189,NCCc1ccc(O)c(O)c1
190,NCCc1c[nH]c2ccc(O)cc12
191,C=Cc1ccccc1
192,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1
193,CC(C)Cc1ccc([C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1
194,CC(C)N
195,CCCN
196,[NH3+]C1CCCCC1
197,CN[C@@H]1CCc2ccccc21
198,N[C@H]1CCCc2ccccc21
199,C[C@@H](N)c1ccccc1
200,N[C@@H]1CCCc2ccccc21
201,N[C@H]1CCc2ccccc21
202,CCN
203,CN
204,C[C@H](N)c1ccccc1
205,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCO)C(=O)O
206,CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O
207,CCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)O
208,O=C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCCN1C(=O)CCC1CCCCC1
209,Cc1ccc(O)cc1
210,O=[N+]([O-])c1ccc2oncc2c1
211,N#Cc1cc([N+](=O)[O-])ccc1O
212,NO
213,O=C(CCCCn1ccnc1)N[C@@H](Cc1ccccc1)C(=O)O
214,CCc1ccccc1
215,CCCc1ccccc1
216,O=C(CCCCCn1ccnc1)N[C@@H](Cc1ccccc1)C(=O)O
217,c1ccc2c(c1)CCC2
218,O=C(O)CCCNc1ccncc1
219,O=C(O)C1CCN(c2ccncc2)CC1
220,CCCCCCCCCC(=O)N[C@H]1CCOC1=O
221,CCCCc1ccc(N/C=N\O)c(C)c1
222,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1
223,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
224,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
225,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
226,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
227,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
228,CC(=O)N1CCN(c2ccc(OC[C@H]3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
229,N#C/C(=C1/SC[C@@H](c2ccccc2Cl)S1)n1ccnc1
230,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
231,c1ccc(Cc2ccncc2)cc1
232,O=[N+]([O-])c1ccc(Cc2ccncc2)cc1
233,CC1=CC[C@H]2[C@@H](C1)C2(C)C
234,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2
235,CC1(C)[C@@H]2CC=C(CBr)[C@H]1C2
236,C[C@@H]1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
237,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
238,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
239,CC[C@]1(C)C[C@@H](OC(=O)CSc2n[nH]c(N)n2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
240,O=C(Nc1ccccc1Cl)N(Cc1cccc(O)c1)c1cc(C(F)(F)F)ccc1-n1ccnc1
241,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
242,CC1=CC[C@@H](C(C)(C)O)CC1
243,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
244,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
245,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
246,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O
