Substrate_Index,Substrate_SMILES,status,reason,num_atoms
31,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,ok,OK,25
32,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,ok,OK,36
33,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,ok,OK,49
34,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cccc(C(F)(F)F)c1,ok,OK,27
35,O=C(O[C@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1cccc(C(F)(F)F)c1,ok,OK,28
36,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cc(Cl)cc(Cl)c1,ok,OK,25
37,O=C(N[C@@H](Cn1ccnc1)c1c(F)cc(-c2ccc(F)cc2)cc1F)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,ok,OK,42
38,O=C(O)CCCCCCCCCCCO,ok,OK,15
39,CCCCCCCCCCCC(=O)O,ok,OK,14
40,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC1=O,ok,OK,16
41,COc1ccc2[nH]c3c(c2c1)CCNC3,ok,OK,15
42,NCc1c[nH]c2ccccc12,ok,OK,11
43,c1ccc2c3c([nH]c2c1)CNCC3,ok,OK,13
44,OB(O)c1cccnc1,ok,OK,9
45,NCc1ccc2[nH]ccc2c1,ok,OK,11
46,COc1cc(C=O)ccc1O,ok,OK,11
47,CCOc1ccccc1O,ok,OK,10
48,CCCCCCCC(=O)O,ok,OK,10
49,CCCCCCCC/C=C/CCCCCCCC(=O)O,ok,OK,20
50,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12,ok,OK,21
51,O=C1N[C@@H](Cc2c[nH]c3cccc(F)c23)C(=O)N2CCC[C@@H]12,ok,OK,22
52,O=C1N[C@@H](Cc2c[nH]c3ccc(F)cc23)C(=O)N2CCC[C@@H]12,ok,OK,22
53,O=C1N[C@@H](Cc2c[nH]c3c(F)cccc23)C(=O)N2CCC[C@@H]12,ok,OK,22
54,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H]1Cc1c[nH]c2ccccc12,ok,OK,28
55,CC(C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,ok,OK,21
56,CC[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,ok,OK,20
57,c1ccc(-c2c[nH]cn2)cc1,ok,OK,11
58,CC[C@@H]1C[C@@H]2C[C@@H]3C/C=C/CC(=O)NCCC[C@@H]4NC(=O)/C(=C(O)/C=C/C=C/[C@H](O)[C@H]3[C@@H]2[C@H]1C)C4=O,ok,OK,36
59,COc1cc(C)cc(OC)c1O,ok,OK,12
60,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,28
61,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,32
62,Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,ok,OK,24
63,CC(C)(C)[C@@](O)(CCc1ccc(Cl)cc1)Cn1cncn1,ok,OK,21
64,CC(C)(C)[C@](O)(CCc1ccc(Cl)cc1)Cn1cncn1,ok,OK,21
65,O[C@@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1,ok,OK,20
66,O[C@](Cc1ccccc1Cl)(Cn1cncn1)C1(Cl)CC1,ok,OK,20
67,O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,ok,OK,25
68,CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,ok,OK,23
69,C[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,ok,OK,27
70,C[C@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,ok,OK,27
71,C[C@@H]1CO[C@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,ok,OK,27
72,C[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,ok,OK,27
73,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,ok,OK,37
74,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,ok,OK,26
75,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,23
76,CC(=O)OC/C=C(\C)CC/C=C(\C)CCC=C(C)C,ok,OK,19
77,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,ok,OK,16
78,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,29
79,CC(=O)/C=C/C=C(\C)CCC=C(C)C,ok,OK,14
80,CCCCCCCC/C=C\CCCCCCCC(=O)O,ok,OK,20
81,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,ok,OK,15
82,CC1=CC[C@H]2O[C@]1(C)O[C@H]([C@H](C)/C=C(C)/C=C/C(O)=C1/C(=O)C=NC1=O)[C@H]2C,ok,OK,28
83,CCCCCC(=O)O,ok,OK,8
84,CC[C@H](C)C[C@@H](C)CCC(=O)O,ok,OK,12
85,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,ok,OK,25
86,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,ok,OK,22
87,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,ok,OK,35
88,N#Cc1ccc(COc2ccc(C=Cc3ccc(C(F)(F)[C@](O)(Cn4cnnn4)c4ccc(F)cc4F)nc3)cc2)cc1,ok,OK,43
89,O=C(N[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl)c1ccc(-c2nnc(-c3ccc(OCC(F)(F)F)cc3F)o2)cc1,ok,OK,42
90,CCCCCC/C=C/[C@@H]1[C@@H](CC=CCCCC(=O)O)[C@@H]2C[C@H]1N=N2,ok,OK,24
91,Clc1ccc([C@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,ok,OK,23
92,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1c[nH]cn1,ok,OK,29
93,COC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,ok,OK,13
94,CCCC[C@H]1CC[C@]2(CC[C@H](C)[C@@H](C/C=C(C)/C=C/[C@H](O)[C@@H](C)/C=C/C(=O)O)O2)O[C@H]1/C=C/C(C)=C/C(=O)O,ok,OK,39
95,Clc1ccc(-c2cnc[nH]2)cc1,ok,OK,12
96,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,ok,OK,25
97,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,ok,OK,31
98,CCCCCC/C=C\CCCCCCCC(=O)O,ok,OK,18
99,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,28
100,CC(C)(C)[C@H](O)/C(=C\c1ccc(Cl)cc1)n1cncn1,ok,OK,20
101,C[C@@](O)(c1ccccc1)[C@H](Cc1ccc(Cl)cc1)n1cncn1,ok,OK,23
102,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ok,OK,36
103,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@H](C)C[C@H](C)C(=O)/C=C/[C@H]1C,ok,OK,32
104,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCCC2)O1,ok,OK,25
105,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](OC2CCCCCCCCCCC2)O1,ok,OK,24
106,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ok,OK,27
107,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ok,OK,28
108,CN(C)CCCCCOC1CCCCCCCCCCC1,ok,OK,21
109,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)c2ccccc2CN(C)C)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ok,OK,33
110,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,ok,OK,21
111,c1ccc(-c2ccc([C@H](c3ccccc3)n3ccnc3)cc2)cc1,ok,OK,24
112,c1ccc(-c2ccc(Cn3ccnc3)cc2)cc1,ok,OK,18
113,Clc1ccccc1CN1CCc2sccc2C1,ok,OK,17
114,CC(C)(C)c1ccc(CC=O)cc1,ok,OK,13
115,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,ok,OK,28
116,O=CCc1cc2ccccc2c2ccccc12,ok,OK,17
117,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,ok,OK,21
118,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,ok,OK,24
119,Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1,ok,OK,23
120,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,ok,OK,19
121,c1ccccc1,ok,OK,6
122,[C-]#[N+]CCCC,ok,OK,6
123,Clc1cc(Cl)cc(Cl)c1,ok,OK,9
124,CC1=CC[C@@H]2C[C@H]1C2(C)C,ok,OK,10
125,CN1CCC[C@H]1c1cccnc1,ok,OK,12
126,CCCCCC[C@](O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,ok,OK,22
127,c1ccc(-n2ccnc2)cc1,ok,OK,11
128,c1ccc(-c2ncc[nH]2)cc1,ok,OK,11
129,c1ccc(-c2cnc[nH]2)cc1,ok,OK,11
130,CC(C)(C(=O)c1cccnc1)c1cccnc1,ok,OK,17
131,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,ok,OK,11
132,Cn1cc[nH+]c1,ok,OK,6
133,C1C2CC3CC1CC(C2)C3,ok,OK,10
134,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,ok,OK,11
