reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,pmids
P450R2422,463,221,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CN=CC3)=C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=3C=CN=CC3)C12)N(=O)=O,
P450R2472,463,221,O=C(O)C(N)CC1=CNC2=CC=CC(C=3C=CN=CC3)=C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=3C=CN=CC3)C12)N(=O)=O,
P450R2430,463,222,O=C(O)C(N)CC1=CNC=2C(=CC=CC12)C=3C=CC=CC3,O=C(O)C(N)CC1=CNC=2C(=CC=C(C12)N(=O)=O)C=3C=CC=CC3,
P450R2420,463,223,O=C(O)C(N)CC1=CNC=2C(=CC=CC12)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC=2C(=CC=C(C12)N(=O)=O)C=3C=CN=CC3,
P450R2470,463,223,O=C(O)C(N)CC1=CNC=2C(=CC=CC12)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC=2C(=CC=C(C12)N(=O)=O)C=3C=CN=CC3,
P450R2736,463,956,O=C(O)C(N)CC1=CNC=2C(Br)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(Br)C=CC(=C21)N(=O)=O,
P450R2739,463,956,O=C(O)C(N)CC1=CNC=2C(Br)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(Br)C=CC(=C21)N(=O)=O,
P450R2446,463,224,O=C(O)C(N)CC1=CNC=2C(C#C)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(C#C)C=CC(=C21)N(=O)=O,
P450R2442,463,225,O=C(O)C(N)CC1=CNC=2C(C=C)=CC=CC12,O=C(O)C(N)CC1=CNC=2C(C=C)=CC=C(C12)N(=O)=O,
P450R2735,463,957,O=C(O)C(N)CC1=CNC=2C(Cl)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(Cl)C=CC(=C21)N(=O)=O,
P450R2727,463,958,O=C(O)C(N)CC1=CNC=2C(F)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(F)C=CC(=C21)N(=O)=O,
P450R2742,463,959,O=C(O)C(N)CC1=CNC=2C(N)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(N)C=CC(=C21)N(=O)=O,
P450R2705,463,960,O=C(O)C(N)CC1=CNC=2C(O)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(O)C=CC(=C21)N(=O)=O,
P450R2726,463,960,O=C(O)C(N)CC1=CNC=2C(O)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(O)C=CC(=C21)N(=O)=O,
P450R2706,463,961,O=C(O)C(N)CC1=CNC=2C(OC)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(OC)C=CC(=C21)N(=O)=O,
P450R2412,463,226,O=C(O)C(N)CC1=CNC=2C(SC)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(SC)C=CC(=C21)N(=O)=O,
P450R2462,463,226,O=C(O)C(N)CC1=CNC=2C(SC)=CC=CC12,O=C(O)C(N)CC1=CNC2=C(SC)C=CC(=C21)N(=O)=O,
P450R2715,463,962,O=C(O)C(N)CC1=CNC=2C=C(Br)C=CC21,O=C(O)C(N)CC1=CNC2=CC(Br)=CC(=C21)N(=O)=O,
P450R2725,463,962,O=C(O)C(N)CC1=CNC=2C=C(Br)C=CC21,O=C(O)C(N)CC1=CNC2=CC(Br)=CC(=C21)N(=O)=O,
P450R2746,463,963,O=C(O)C(N)CC1=CNC=2C=C(C#C)C=CC21,O=C(O)C(N)CC1=CNC2=CC(C#C)=CC(=C21)N(=O)=O,
P450R2662,463,227,O=C(O)C(N)CC1=CNC=2C=C(C=C)C=CC21,O=C(O)C(N)CC1=CNC2=CC(C=C)=CC(=C21)N(=O)=O,
P450R2700,463,964,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C,
P450R2713,463,964,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C,
P450R2390,463,228,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C3CC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C3CC3,
P450R2436,463,228,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C3CC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C3CC3,
P450R2428,463,229,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C=3C=CC=CC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C=3C=CC=CC3,
P450R2418,463,230,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C=3C=CN=CC3,
P450R2468,463,230,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)C=3C=CN=CC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)C=3C=CN=CC3,
P450R2404,463,231,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)N3CCOCC3,
P450R2452,463,231,O=C(O)C(N)CC1=CNC=2C=C(C=CC21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=CC(=CC(=C21)N(=O)=O)N3CCOCC3,
P450R2714,463,965,O=C(O)C(N)CC1=CNC=2C=C(Cl)C=CC21,O=C(O)C(N)CC1=CNC2=CC(Cl)=CC(=C21)N(=O)=O,
P450R2738,463,966,O=C(O)C(N)CC1=CNC=2C=C(F)C=CC21,O=C(O)C(N)CC1=CNC2=CC(F)=CC(=C21)N(=O)=O,
P450R2701,463,967,O=C(O)C(N)CC1=CNC=2C=C(N)C=CC21,O=C(O)C(N)CC1=CNC2=CC(N)=CC(=C21)N(=O)=O,
P450R2734,463,967,O=C(O)C(N)CC1=CNC=2C=C(N)C=CC21,O=C(O)C(N)CC1=CNC2=CC(N)=CC(=C21)N(=O)=O,
P450R2716,463,968,O=C(O)C(N)CC1=CNC=2C=C(OC)C=CC21,O=C(O)C(N)CC1=CNC2=CC(OC)=CC(=C21)N(=O)=O,
P450R2410,463,232,O=C(O)C(N)CC1=CNC=2C=C(SC)C=CC21,O=C(O)C(N)CC1=CNC2=CC(SC)=CC(=C21)N(=O)=O,
P450R2460,463,232,O=C(O)C(N)CC1=CNC=2C=C(SC)C=CC21,O=C(O)C(N)CC1=CNC2=CC(SC)=CC(=C21)N(=O)=O,
P450R2745,463,969,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)C,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)N(=O)=O)C,
P450R2388,463,233,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)C3CC3,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)N(=O)=O)C3CC3,
P450R2434,463,233,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)C3CC3,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)N(=O)=O)C3CC3,
P450R2402,463,234,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)N(=O)=O)N3CCOCC3,
P450R2450,463,234,O=C(O)C(N)CC1=CNC=2C=CC(=CC21)N3CCOCC3,O=C(O)C(N)CC1=CNC2=CC=C(C(=C21)N(=O)=O)N3CCOCC3,
P450R2703,463,970,O=C(O)C(N)CC1=CNC=2C=CC(Br)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(Br)C(=C21)N(=O)=O,
P450R2732,463,970,O=C(O)C(N)CC1=CNC=2C=CC(Br)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(Br)C(=C21)N(=O)=O,
P450R2744,463,971,O=C(O)C(N)CC1=CNC=2C=CC(C#C)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(C#C)C(=C21)N(=O)=O,
P450R2396,463,235,O=C(O)C(N)CC1=CNC=2C=CC(C=C)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(C=C)C(=C21)N(=O)=O,
P450R2661,463,235,O=C(O)C(N)CC1=CNC=2C=CC(C=C)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(C=C)C(=C21)N(=O)=O,
P450R2723,463,972,O=C(O)C(N)CC1=CNC=2C=CC(Cl)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(Cl)C(=C21)N(=O)=O,
P450R2704,463,973,O=C(O)C(N)CC1=CNC=2C=CC(N)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(N)C(=C21)N(=O)=O,
P450R2731,463,973,O=C(O)C(N)CC1=CNC=2C=CC(N)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(N)C(=C21)N(=O)=O,
P450R2719,463,974,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(O)C(=C21)N(=O)=O,
P450R2729,463,974,O=C(O)C(N)CC1=CNC=2C=CC(O)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(O)C(=C21)N(=O)=O,
P450R2702,463,975,O=C(O)C(N)CC1=CNC=2C=CC(OC)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(OC)C(=C21)N(=O)=O,
