ccd_code,smiles,source,validation_status,error_message
87X,O=C(O)CCCCC1CCCCC1,API,VALID,
88L,CCc1ccc(OP(=O)(O)O)cc1,API,VALID,
8MO,COc1c2occc2cc2ccc(=O)oc12,API,VALID,
8PD,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCO)C(=O)O,API,VALID,
8PR,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,API,VALID,
8QM,O=C(O)c1ccc(C2CC2)cc1,API,VALID,
8ZU,CCCc1ccc(C(=O)O)cc1,API,VALID,
8ZX,COc1ccc(C(N)=O)cc1,API,VALID,
98B,C[C@H](N)c1ccccc1,API,VALID,
9AP,Nc1cc2ccccc2c2ccccc12,API,VALID,
9CR,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,API,VALID,
9KB,O=C1CN(CCCn2ccnc2)CCN1Cc1ccc(F)cc1,API,VALID,
9KE,O=C1CN(CCCn2ccnc2)CCN1Cc1ccc(Cl)cc1,API,VALID,
9LF,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OC(=O)CO)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,API,VALID,
9PL,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,API,VALID,
9RL,C[C@@](O)(c1ccccc1)[C@H](Cc1ccc(Cl)cc1)n1cncn1,API,VALID,
9W6,CCOC(=O)NC(=O)c1ccsc1NC(=O)c1nc2cnccc2s1,API,VALID,
9ZJ,C[C@@H]1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,API,VALID,
A1AB6,O=C(NC[C@](O)(Cn1cncn1)c1ccc(F)cc1F)c1ccc(-c2ccc(OC(F)(F)F)cc2)cc1,API,VALID,
A1AZ7,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,API,VALID,
A1BNX,O=C(Nc1ccccc1Cl)N(Cc1cccc(O)c1)c1cc(C(F)(F)F)ccc1-n1ccnc1,API,VALID,
A1EGF,C/C=C(\C)[C@H]1CC=C/C=C(\C)CC[C@@H](O)[C@@](C)(O)C(=S)/C=C2\N[C@@](C)(C3=N[C@@H](CS3)C(=O)O1)[C@@H](O)S2,API,VALID,
A1H47,O=C(NCc1ccc2[nH]ccc2c1)c1cccc(Nc2ccncc2)c1,API,VALID,
A1L6Q,N#C/C(=C1/SC[C@@H](c2ccccc2Cl)S1)n1ccnc1,API,VALID,
A1L6X,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,API,VALID,
A2W,Fc1ccc(-c2nn(-c3ccccc3)cc2Cn2ccnc2)cc1,API,VALID,
A31,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCOCCOCCOCCCNC(=O)CCCC(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2,API,VALID,
A6B,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2,API,VALID,
ADM,C1C2CC3CC1CC(C2)C3,API,VALID,
ADO,O=C1C2CC3CC(C2)CC1C3,API,VALID,
AER,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,API,VALID,
AJN,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,API,VALID,
ANN,COc1ccc(C(=O)O)cc1,API,VALID,
AQ4,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,API,VALID,
ASD,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,API,VALID,
AUI,CC(C)=C[C@H](O)C/C(C)=C/CC/C(C)=C/Cc1c(C)[nH]c2ccccc2c1=O,API,VALID,
B9L,CN[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,API,VALID,
B9O,CN[C@H](C(=O)N[C@H](CO)Cc1csc2ccccc12)C(C)C,API,VALID,
B9R,CN[C@H](C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12)C(C)C,API,VALID,
B9U,CC(C)[C@H](O)C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,API,VALID,
BCN,O=C(O)CN(CCO)CCO,API,VALID,
BEN,[H]/N=C(/N)c1ccccc1,API,VALID,
BGC,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,API,VALID,
BHF,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,API,VALID,
BNZ,c1ccccc1,API,VALID,
BR,[Br-],API,VALID,
BTB,OCCN(CCO)C(CO)(CO)CO,API,VALID,
BW9,C=CC1=C(C)C2=Cc3c(C=C)c(C)c4[n]3[Cr]35<-[N]2=C1C=c1c(C)c(CCC(=O)O)c([n]13)=CC1=[N]->5C(=C4)C(C)=C1CCC(=O)O,API,VALID,
BWX,CC(C)Cc1ccc([C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,API,VALID,
BZ6,COc1ccc(-c2nn(-c3ccccc3)cc2Cn2ccnc2)cc1,API,VALID,
C0R,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,API,VALID,
C3Q,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCNC(=O)CCC34CC5CC(CC(C5)C3)C4)cccc12,API,VALID,
C3S,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,API,VALID,
C3U,Cc1ccccc1Cl,API,VALID,
C4O,Cc1ccc(Cl)cc1,API,VALID,
C4U,Cc1cccc(Cl)c1,API,VALID,
C5O,Cc1ccc(Br)cc1,API,VALID,
C5R,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)CCC[C@]21C,API,VALID,
C8B,CN1C(=O)[C@](O)(Cc2ccccc2)N(C)C(=O)[C@@H]1Cc1c[nH]c2cccc([N+](=O)[O-])c12,API,VALID,
