compound_id,smiles,name
83,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,flavonols
84,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC=C(C=C3)O)O)OC,compound 3 (3-hydroxy-N-methylnorcolaurine or equivalent 1-phenethylisoquinoline intermediate in colchicine pathway)
85,CN1CCC2=CC(=C(C=C2[C@@H]1CCC3=CC(=C(C(=C3)OC)OC)O)O)OC,(S)-autumnaline
86,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,luteolin
87,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,chrysoeriol
88,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,kaempferol
89,C[C@H]1CC[C@@H]([C@H]1C=O)[C@H](C)C=O,(cis/trans)-iridodial
90,C[C@H]1CC[C@H]2[C@@H]1C(OC=C2C)O,nepetalactol
91,C[C@H]1CC[C@@H]([C@@H]1C=O)/C(=C/O)/C=O,iridotrial
92,C/C(=C\CO)/CC/C=C(\C)/C=O,8-oxogeraniol
93,CC(=CCCC(C)(C=C)O)C,linalool
94,CC(CCC=C(C)C)CCO,citronellol
95,CC(=CC[C@@H](CO)C(=C)C)C,lavandulol
96,C[C@@H]1[C@H]([C@@H](CC2=C1C[C@@H](CC2)C(=C)C)O)O,rishitin
97,C[C@@H]1CC(=O)C=C([C@]12CC[C@H](C2)C(=C)C)C,solavetivone
98,C[C@@H]1C[C@@H](C[C@@H]([C@]12CC[C@H](C2)C(=C)C)C=O)O,lubimin
99,C[C@@H]1[C@H]([C@@H](C[C@@H]([C@]12CC[C@H](C2)C(=C)C)C=O)O)O,oxylubimin
100,CCOC1=CC2=C(C=C1)C=CC(=O)O2,7-ethoxycoumarin
101,CCOC1=CC2=C(C=C1)N=C3C=CC(=O)C=C3O2,alkoxyresorufins
102,C1=CC=C(C=C1)NC(=O)N,phenylureas
103,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,linuron
104,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,isoproturon
105,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl,chlortoluron
106,CC(=CCC/C(=C/CC1=C(C=CC(=C1)O)O)/C)C,geranylhydroquinone
107,CC(=CCCC1(C2CC3C1(C3C2)C)C)C,alpha-santalene
108,CC(=CCC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)C,beta-santalene
109,CC(=CCC[C@]1([C@H]2CC[C@H](C2)C1=C)C)C,epi-beta-santalene
110,CC1=CC[C@H]2C[C@@H]1[C@]2(C)CCC=C(C)C,alpha-exo-bergamotene
111,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,farnesol
112,CC(=CCC1=C(C=C2C(=C1)C=CC(=O)O2)O)C,demethylsuberosin
