compound_id,smiles,name
80,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,
81,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,
82,COc1cccc(CO)c1O,
83,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,
84,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,
85,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,
86,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@H]1c1cccc(Cl)c1Cl,
87,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@H]3SC(=O)NC3=O)cc1)O2,
88,CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,
89,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,
90,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,
91,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,
92,O=c1ccc2ccccc2o1,
93,CN(C)Cc1ccc(-c2cccnc2)o1,
94,c1cc(SSc2ccncc2)ccn1,
95,CCOc1ccc(NC(C)=O)cc1,
96,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,
97,CN1CCC[C@H]1c1cccnc1,
98,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,
99,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,
100,C[C@@](O)(C(=O)Nc1ccc(S(=O)(=O)c2cccc(Br)c2)cc1Cl)C(F)(F)F,
101,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,
102,CCCCCCCCCCCCCCCC(=O)NCC(=O)O,
103,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCSC)C(=O)O,
104,C=Cc1ccccc1,
105,COc1ccc2nc(SCc3ncc(C)c(OC)c3C)[nH]c2c1,
